;kode_sarana;jenis_sarana;nama_pemilik;nama_daop;lokasi;tahun_pembuatan;umur;range_usia;asal_pabrikan
7;K100804;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100805;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100806;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100807;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100808;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K100235;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2002;19;11-20 th;ID
7;K108406;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1984;37;>30 th;LN
7;M108004;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1980;41;>30 th;LN
7;K307812;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1978;43;>30 th;LN
7;K308531;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1985;36;>30 th;ID
7;K308537;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1985;36;>30 th;ID
7;K300723;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2007;14;11-20 th;ID
7;K309311;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1993;28;21-30 th;ID
7;K309317;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1993;28;21-30 th;ID
7;K309314;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;1993;28;21-30 th;ID
7;K300620;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2006;15;11-20 th;ID
7;K300920;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2009;12;11-20 th;ID
7;K300801;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
7;K300803;Kereta;PT Kereta Api Indonesia (Persero);DAOP 1 JAKARTA;JAWA;2008;13;11-20 th;ID
