,id,kode_sarana,kode_sarana_lama,id_kartu,jenis_sarana,id_sub_jenis,seri,tahun_dinas,id_depo,status,negara_asal,tgl_uji_pertama,tgl_masa_uji,tgl_masa_perawatan,pabrikan,created_at,last_update,nama_pemilik,nama_daop
7,1402,GB3065198,KKBW 252K,0,Gerbong,16,57,1965,51,Aktiv,,2009-12-28,2020-06-21,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1504,GB306628,KKBW 189,0,Gerbong,16,57,1966,51,Aktiv,,2009-12-28,2020-07-12,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1506,GB306630,KKBW 191,0,Gerbong,16,57,1966,19,Aktiv,,2009-12-28,2020-06-21,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,1557,GB306708,KKBW 215,0,Gerbong,16,57,1967,51,Aktiv,,2009-12-28,2020-06-21,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2807,GD409216,PPCW 9230007,0,Gerbong,7,54,1992,19,Aktiv,,2009-12-28,2020-11-28,0000-00-00,PT INKA,0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2817,GD409515,PPCW 9530003,0,Gerbong,7,54,1995,19,Aktiv,,2009-12-28,0000-00-00,0000-00-00,PT INKA,0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2822,GD409520,PPCW 9530009,0,Gerbong,7,54,1995,19,Aktiv,,2009-12-28,2020-08-03,0000-00-00,PT INKA,0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2825,GD409523,PPCW 9530018,0,Gerbong,7,54,1995,19,Aktiv,,2009-12-28,0000-00-00,0000-00-00,PT INKA,0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2863,GD302202,PPCW 481,0,Gerbong,7,54,1922,19,Tidak Aktiv,,2009-12-28,2018-09-04,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
7,2864,GD303001,PPCW 3030001,0,Gerbong,7,54,1930,19,Tidak Aktiv,,2009-12-28,0000-00-00,0000-00-00,ARAD (RUMANIA),0000-00-00 00:00:00,0000-00-00 00:00:00,PT Kereta Api Indonesia (Persero),DAOP 1 JAKARTA
