,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,NAMA_DAOP2,NAMA_DEPO,KODE_DEPO
92,GD4211123,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
93,GD4211124,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
94,GD4211125,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
95,GD4211126,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
96,GD4211127,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
97,GD4211128,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
98,GD4211129,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
99,GD421113,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
100,GD4211130,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
101,GD4211131,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
102,GD4211132,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
103,GD4211133,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
104,GD4211134,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
105,GD4211135,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
106,GD4211136,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
107,GD4211137,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
108,GD4211138,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
109,GD4211139,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
110,GD421114,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
111,GD4211140,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
112,GD4211141,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
113,GD4211142,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
114,GD4211143,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
115,GD4211144,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
116,GD4211145,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
117,GD4211146,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
118,GD4211147,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
119,GD4211148,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
120,GD4211149,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
121,GD421115,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
122,GD4211150,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
123,GD4211151,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
124,GD4211152,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
125,GD4211153,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
126,GD4211154,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
127,GD4211155,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
128,GD4211156,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
129,GD4211157,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
130,GD4211158,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
131,GD4211159,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
132,GD421116,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
133,GD4211160,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
134,GD4211161,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
135,GD4211162,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
136,GD4211163,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
137,GD4211164,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
138,GD4211165,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
139,GD4211166,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
140,GD4211167,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
141,GD4211168,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
142,GD4211169,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
143,GD421117,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
144,GD4211170,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
145,GD4211171,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
146,GD4211172,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
147,GD4211173,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
148,GD4211174,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
149,GD4211175,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
150,GD4211176,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
151,GD4211177,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
152,GD4211178,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
153,GD4211179,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
154,GD421118,DAOP 1,RK,GERBONG,11,DAOP 1,DEPO KERETA RK,57.0
155,GD4211180,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
156,GD4211181,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
157,GD4211182,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
158,GD4211183,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
159,GD4211184,DIVRE 3,SIG,GERBONG,11,DIVRE III,DEPO GERBONG SIG,82.0
160,GD4211185,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
161,GD4211186,DAOP 1,JAKG,GERBONG,11,DAOP 1,DEPO GERBONG JAKG,19.0
162,GD4211187,DAOP 8,SDT,GERBONG,11,DAOP 8,DEPO GERBONG SDT,64.0
