"54","SR38402","MTT 2152","0","9","22","86","1984","14","35","Aktiv","null","0000-00-00","2020-09-07","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"55","SR38403","MTT 2153","0","9","22","87","1984","16","43","Aktiv","null","0000-00-00","2018-05-24","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"56","SR38404","MTT 2154","0","9","22","88","1984","9","22","Aktiv","null","0000-00-00","2021-08-22","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"57","SR38405","MTT 2217","0","9","22","89","1984","12","73","Aktiv","null","0000-00-00","2020-11-01","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"58","SR38406","MTT 2218","0","9","22","90","1984","10","24","Aktiv","null","0000-00-00","2019-09-21","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"59","SR38407","PBR 431","0","9","22","114","1984","10","24","Aktiv","null","0000-00-00","2019-09-21","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"60","SR38408","PBR 452","0","9","22","115","1984","14","35","Aktiv","null","0000-00-00","2020-09-07","0000-00-00","PLASSER AND THEURER","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"97","SI37801","K237802/KD2 78202","0","9","23","0","1978","7","14","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"98","SK38201","K238205/KD2 82205","0","9","41","0","1982","16","43","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"100","SN38202","K238207/KD2 82207","0","9","19","0","1982","8","20","Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"101","K238211","KD2 82211","0","3","26","0","1982","8","20","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"103","K238220","KD2 82231","0","3","26","0","1982","12","30","Tidak Aktiv","null","2009-12-28","0000-00-00","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"105","K238001","KD2 80201","0","9","23","0","1980","12","30","Aktiv","null","2009-12-28","2019-12-14","0000-00-00","NIPPON SHARYO (JEPANG)","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
