;NOMOR_IDENTITAS;DAOP;DEPO;JENIS
243;GD421141;DAOP 1;RK;GERBONG
244;GD421142;DAOP 1;RK;GERBONG
245;GD421143;DAOP 1;RK;GERBONG
246;GD421144;DAOP 1;RK;GERBONG
247;GD421145;DAOP 1;RK;GERBONG
248;GD421146;DAOP 1;RK;GERBONG
249;GD421147;DAOP 1;RK;GERBONG
250;GD421148;DAOP 1;RK;GERBONG
251;GD421149;DAOP 1;RK;GERBONG
252;GD421150;DAOP 1;RK;GERBONG
253;GD421151;DAOP 1;RK;GERBONG
254;GD421152;DAOP 1;RK;GERBONG
255;GD421153;DAOP 1;RK;GERBONG
256;GD421154 ;DAOP 1;RK;GERBONG
257;GD421155;DAOP 1;RK;GERBONG
258;GD421156;DAOP 1;RK;GERBONG
259;GD421157;DAOP 1;RK;GERBONG
260;GD421158;DAOP 1;RK;GERBONG
261;GD421159;DAOP 1;RK;GERBONG
262;GD421160;DAOP 1;RK;GERBONG
263;GD421161;DAOP 1;RK;GERBONG
264;GD421162;DAOP 1;RK;GERBONG
265;GD421163;DAOP 1;RK;GERBONG
266;GD421164;DAOP 1;RK;GERBONG
267;GD421185;DAOP 1;RK;GERBONG
268;GD421186;DAOP 1;RK;GERBONG
269;GD421187;DAOP 1;RK;GERBONG
270;GD421188;DAOP 1;RK;GERBONG
271;GD421189;DAOP 1;RK;GERBONG
272;GD421190;DAOP 1;RK;GERBONG
273;GD421191;DAOP 1;RK;GERBONG
274;GD421192;DAOP 1;RK;GERBONG
275;GD421193;DAOP 1;RK;GERBONG
276;GD421194;DAOP 1;RK;GERBONG
277;GD421195;DAOP 1;RK;GERBONG
278;GD421196;DAOP 1;RK;GERBONG
279;GD421197;DAOP 1;RK;GERBONG
280;GD421198;DAOP 1;RK;GERBONG
281;GD421199;DAOP 1;RK;GERBONG
282;GD4212221;DIVRE 3;SIG;GERBONG
283;GD4212222;DAOP 1;JAKG;GERBONG
284;GD4212223;DAOP 1;JAKG;GERBONG
285;GD4212224;DAOP 1;JAKG;GERBONG
286;GD4212225;DAOP 1;RK;GERBONG
287;GD4212226;DAOP 1;JAKG;GERBONG
288;GD4212227;DAOP 1;JAKG;GERBONG
289;GD4212229;DAOP 1;RK;GERBONG
290;GD4212230;DAOP 1;JAKG;GERBONG
291;GD4212231;DAOP 1;RK;GERBONG
292;GD4212232;DAOP 1;JAKG;GERBONG
293;GD4212233;DAOP 1;JAKG;GERBONG
294;GD4212234;DIVRE 3;SIG;GERBONG
295;GD4212235;DAOP 1;RK;GERBONG
296;GD4212236;DAOP 1;RK;GERBONG
297;GD4212237;DAOP 1;RK;GERBONG
298;GD4212238;DAOP 1;JAKG;GERBONG
299;GD4212239;DAOP 1;JAKG;GERBONG
300;GD4212240;DAOP 8;SDT;GERBONG
301;GD4212241;DIVRE 3;SIG;GERBONG
302;GD4212242;DAOP 1;JAKG;GERBONG
303;GD4212243;DAOP 1;JAKG;GERBONG
304;GD4212244;DIVRE 3;SIG;GERBONG
305;GD4212245;DAOP 1;JAKG;GERBONG
306;GD4212246;DAOP 1;JAKG;GERBONG
