,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,TAHUN,TAHUN_2,UMUR,RANGE_USIA
7585,K101640,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7586,K101641,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7587,K101642,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7588,K101643,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7589,K101644,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7590,K101645,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7591,K101646,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7592,K101647,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7593,K101648,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7594,K101649,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7595,K101650,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7596,K101651,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7597,K101652,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7598,K101653,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7599,K101654,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7600,K101655,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7601,K101656,DAOP 8,SBI,KERETA,16,2016,5,<=10 th
7602,K101657,DAOP 3,CN,KERETA,16,2016,5,<=10 th
7603,K101658,DAOP 3,CN,KERETA,16,2016,5,<=10 th
7604,K101659,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7605,K101660,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7606,K101661,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7607,K101662,DAOP 5,PWT,KERETA,16,2016,5,<=10 th
7608,K101663,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7609,K101664,DAOP 4,SMC,KERETA,16,2016,5,<=10 th
7610,K101665,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7611,K101666,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7612,K101667,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7613,K101668,DAOP 8,ML,KERETA,16,2016,5,<=10 th
7614,K101701,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7615,K101702,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7616,K101703,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7617,K101704,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7618,K101705,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7619,K101706,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7620,K101707,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7621,K101708,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7622,K101709,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7623,K101710,DAOP 8,ML,KERETA,17,2017,4,<=10 th
7624,K101711,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7625,K101712,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7626,K101713,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7627,K101714,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7628,K101715,DAOP 4,SMC,KERETA,17,2017,4,<=10 th
7629,K101716,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7630,K101717,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7631,K101718,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7632,K101719,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7633,K101720,DAOP 5,PWT,KERETA,17,2017,4,<=10 th
7634,K106402,DAOP 7,BL,KERETA,64,1964,57,>30 th
7635,K106403,DIVRE 3,KPT,KERETA,64,1964,57,>30 th
7636,K106421,DAOP 7,BL,KERETA,64,1964,57,>30 th
7637,K106608,DAOP 8,ML,KERETA,66,1966,55,>30 th
7638,K106701,DAOP 7,BL,KERETA,67,1967,54,>30 th
7639,K106711,DAOP 1,JAKK,KERETA,67,1967,54,>30 th
7640,K106712,DAOP 6,YK,KERETA,67,1967,54,>30 th
7641,K106713,DAOP 1,JAKK,KERETA,67,1967,54,>30 th
7642,K106716,DAOP 7,BL,KERETA,67,1967,54,>30 th
7643,K106718,DAOP 6,YK,KERETA,67,1967,54,>30 th
7644,K106723,DAOP 5,PWT,KERETA,67,1967,54,>30 th
