,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,tgl_masa_uji,STATUS_UJI
381,GD4212322,DAOP 1,RK,GERBONG,2022-01-28,Masih Berlaku
382,GD4212323,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
383,GD4212324,DAOP 1,RK,GERBONG,2007-01-01,Kadaluarsa
384,GD4212325,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
385,GD4212326,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
386,GD4212327,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
387,GD4212328,DAOP 1,JAKG,GERBONG,2020-02-23,Kadaluarsa
388,GD4212329,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
389,GD4212330,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
390,GD4212331,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
391,GD4212332,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
392,GD4212333,DAOP 1,JAKG,GERBONG,2021-08-29,Kadaluarsa
393,GD4212334,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
394,GD4212335,DAOP 1,RK,GERBONG,2020-09-21,Kadaluarsa
395,GD4212336,DAOP 1,JAKG,GERBONG,2019-01-27,Kadaluarsa
396,GD4212337,DAOP 1,JAKG,GERBONG,2021-08-29,Kadaluarsa
397,GD4212338,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
398,GD4212339,DAOP 1,JAKG,GERBONG,2020-08-03,Kadaluarsa
399,GD4212340,DAOP 1,RK,GERBONG,2020-07-06,Kadaluarsa
400,GD4212368,DAOP 1,RK,GERBONG,2020-06-29,Kadaluarsa
401,GD4212384,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
402,GD4212421,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
403,GD4212422,DAOP 1,JAKG,GERBONG,2020-03-01,Kadaluarsa
404,GD4212423,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
405,GD4212424,DIVRE 3,SIG,GERBONG,2020-06-29,Kadaluarsa
406,GD4212425,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
407,GD4212426,DIVRE 3,SIG,GERBONG,2020-09-21,Kadaluarsa
408,GD4212427,DIVRE 3,SIG,GERBONG,2020-07-06,Kadaluarsa
409,GD4212428,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
410,GD4212429,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
411,GD4212430,DAOP 1,JAKG,GERBONG,2020-02-23,Kadaluarsa
412,GD4212431,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
413,GD4212432,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
414,GD4212433,DAOP 1,JAKG,GERBONG,2020-07-06,Kadaluarsa
415,GD4212434,DAOP 8,SDT,GERBONG,2020-07-06,Kadaluarsa
416,GD4212435,DAOP 8,SDT,GERBONG,2020-06-29,Kadaluarsa
417,GD4212436,DAOP 8,SDT,GERBONG,2020-02-15,Kadaluarsa
418,GD4212437,DAOP 8,SDT,GERBONG,2007-01-01,Kadaluarsa
419,GD4212438,DIVRE 3,SIG,GERBONG,2020-03-01,Kadaluarsa
420,GD4212439,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
421,GD4212440,DIVRE 3,SIG,GERBONG,2020-10-26,Kadaluarsa
422,GD4212441,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
423,GD4212442,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
424,GD4212443,DAOP 1,JAKG,GERBONG,2020-08-31,Kadaluarsa
425,GD4212444,DAOP 8,SDT,GERBONG,2020-08-03,Kadaluarsa
426,GD4212445,DAOP 1,JAKG,GERBONG,2022-01-29,Masih Berlaku
427,GD4212446,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
428,GD4212447,DAOP 8,SDT,GERBONG,2007-01-01,Kadaluarsa
429,GD4212448,DAOP 1,JAKG,GERBONG,2020-10-26,Kadaluarsa
430,GD4212449,DAOP 8,SDT,GERBONG,2020-08-31,Kadaluarsa
431,GD4212450,DAOP 1,JAKG,GERBONG,2020-06-29,Kadaluarsa
432,GD4212451,DAOP 1,JAKG,GERBONG,2020-07-13,Kadaluarsa
433,GD4212452,DAOP 1,JAKG,GERBONG,2007-01-01,Kadaluarsa
