,NOMOR_IDENTITAS,DAOP,DEPO,JENIS,tgl_masa_uji,STATUS_UJI
1338,GD4214538,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1339,GD4214539,DAOP 5,MA,GERBONG,2019-11-24,Kadaluarsa
1340,GD4214540,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1341,GD4214542,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1342,GD4214544,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1343,GD4214545,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1344,GD4214546,DAOP 5,MA,GERBONG,2016-01-15,Kadaluarsa
1345,GD4214547,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1346,GD4214549,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1347,GD4214551,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1348,GD4214552,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1349,GD4214553,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1350,GD4214554,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1351,GD4214555,DAOP 5,MA,GERBONG,2019-02-15,Kadaluarsa
1352,GD4214557,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1353,GD4214558,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1354,GD4214559,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1355,GD4214560,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1356,GD4214561,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1357,GD4214562,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1358,GD4214564,DAOP 5,MA,GERBONG,2019-11-16,Kadaluarsa
1359,GD4214567,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1360,GD4214568,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1361,GD4214569,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1362,GD4214570,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1363,GD4214571,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1364,GD4214572,DAOP 5,MA,GERBONG,2019-11-16,Kadaluarsa
1365,GD4214573,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1366,GD4214575,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1367,GD4214576,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1368,GD4214577,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1369,GD4214578,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1370,GD4214579,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1371,GD4214580,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1372,GD4214581,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1373,GD4214584,DAOP 5,MA,GERBONG,2020-02-15,Kadaluarsa
1374,GD4214585,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1375,GD4214586,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1376,GD4214587,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1377,GD4214589,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1378,GD4214590,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1379,GD4214592,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1380,GD4214595,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1381,GD4214596,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1382,GD4214597,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1383,GD4214599,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1384,GD4214600,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1385,GK306501,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1386,GK306502,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1387,GK306503,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1388,GK306504,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1389,GK306506,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1390,GK306507,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1391,GK306509,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1392,GK306510,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1393,GK3065101,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1394,GK3065107,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1395,GK306511,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1396,GK3065119,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1397,GK306512,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1398,GK3065121,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1399,GK306513,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1400,GK306514,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1401,GK306515,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1402,GK306516,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1403,GK3065160,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1404,GK3065165,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1405,GK306517,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1406,GK3065179,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1407,GK306518,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1408,GK306519,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1409,GK306521,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1410,GK306522,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1411,GK306523,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1412,GK3065232,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1413,GK3065234,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1414,GK3065235,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1415,GK3065236,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1416,GK3065237,DAOP 5,MA,GERBONG,2020-02-15,Kadaluarsa
1417,GK3065238,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1418,GK3065239,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1419,GK306524,DAOP 5,MA,GERBONG,2019-09-21,Kadaluarsa
1420,GK3065240,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1421,GK3065241,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1422,GK3065242,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1423,GK3065244,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1424,GK3065245,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1425,GK306525,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1426,GK306526,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1427,GK306527,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1428,GK306528,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1429,GK306530,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1430,GK306531,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1431,GK306532,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1432,GK306533,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1433,GK306534,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1434,GK306536,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1435,GK306538,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1436,GK306539,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1437,GK306540,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1438,GK306541,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1439,GK306542,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1440,GK306545,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1441,GK306551,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1442,GK306554,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1443,GK306565,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1444,GK306569,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1445,GK306574,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1446,GK306576,DAOP 5,MA,GERBONG,2019-09-29,Kadaluarsa
1447,GK306577,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1448,GK306578,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1449,GK306579,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1450,GK306584,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1451,GK306586,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1452,GK306591,DAOP 5,MA,GERBONG,2020-11-14,Kadaluarsa
1453,GK306597,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1454,GK307722,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1455,GK307727,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1456,GK308401,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1457,GK308402,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1458,GK308403,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1459,GK308404,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1460,GK308405,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1461,GK308406,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1462,GK308407,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1463,GK308408,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1464,GK308409,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1465,GK308410,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1466,GK308411,DAOP 5,MA,GERBONG,2020-08-30,Kadaluarsa
1467,GK308412,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1468,GK308413,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1469,GK308414,DAOP 5,MA,GERBONG,2020-02-15,Kadaluarsa
1470,GK308415,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1471,GK308416,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1472,GK308417,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1473,GK308418,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1474,GK308419,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1475,GK308420,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1476,GK308421,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1477,GK308422,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1478,GK308423,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1479,GK308424,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1480,GK308425,DAOP 5,MA,GERBONG,2020-02-15,Kadaluarsa
1481,GK308426,DAOP 5,MA,GERBONG,2019-11-16,Kadaluarsa
1482,GK308427,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1483,GK308429,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1484,GK308430,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1485,GK308431,DAOP 5,MA,GERBONG,2020-07-05,Kadaluarsa
1486,GK308432,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1487,GK308433,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1488,GK308434,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1489,GK308441,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1490,GK308446,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1491,GK308459,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1492,GT308506,DAOP 5,MA,GERBONG,2020-11-15,Kadaluarsa
1493,GT308510,DAOP 5,MA,GERBONG,2019-12-15,Kadaluarsa
1494,GB258301,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1495,GB258302,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1496,GB258303,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1497,GB258306,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1498,GB258307,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1499,GB258309,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1500,GB258310,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1501,GB258311,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1502,GB258312,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1503,GB258313,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1504,GB258314,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1505,GB258315,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1506,GB258316,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1507,GD409213,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1508,GD409512,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1509,GK3065103,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1510,GK3065104,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1511,GK3065105,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1512,GK3065106,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1513,GK306546,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1514,GK306547,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1515,GK306548,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1516,GK306549,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1517,GK306550,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1518,GK306552,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1519,GK306553,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1520,GK306555,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1521,GK306556,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1522,GK306558,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1523,GK306561,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1524,GK306563,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1525,GK306566,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1526,GK306567,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1527,GK306570,DAOP 8,SDT,GERBONG,2020-07-11,Kadaluarsa
1528,GK306571,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1529,GK306573,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1530,GK306575,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1531,GK306580,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1532,GK306581,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1533,GK306582,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1534,GK306583,DAOP 8,SDT,GERBONG,2020-11-01,Kadaluarsa
1535,GK306585,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1536,GK306590,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1537,GK306593,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1538,GK306594,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1539,GK306595,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1540,GK306596,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1541,GK306598,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1542,GK307714,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1543,GK307715,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1544,GK307716,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1545,GK307720,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1546,GK307721,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1547,GK307723,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1548,GK307724,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1549,GK307725,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1550,GK307726,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1551,GK308440,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1552,GK308442,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1553,GK308444,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1554,GK308445,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1555,GK308447,DAOP 6,RWL,GERBONG,2020-07-11,Kadaluarsa
1556,GK308448,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1557,GK308449,DAOP 6,RWL,GERBONG,2020-11-01,Kadaluarsa
1558,GD409220,DAOP 7,BL,GERBONG,2020-12-05,Kadaluarsa
1559,GD409506,DAOP 7,BL,GERBONG,2020-08-09,Kadaluarsa
1560,GD409717,DAOP 7,BL,GERBONG,2007-01-01,Kadaluarsa
1561,GD409722,DAOP 7,BL,GERBONG,2020-08-09,Kadaluarsa
1562,GB3084143,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1563,GB308479,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1564,GB308480,DAOP 9,BW,GERBONG,2022-03-05,Masih Berlaku
1565,GB308481,DAOP 8,SDT,GERBONG,2021-08-27,Kadaluarsa
1566,GB308482,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1567,GB308484,DAOP 8,SDT,GERBONG,2019-10-13,Kadaluarsa
1568,GB308485,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1569,GB308486,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1570,GB308487,DAOP 8,SDT,GERBONG,2019-10-13,Kadaluarsa
1571,GB308488,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1572,GB308489,DAOP 8,SDT,GERBONG,2019-10-13,Kadaluarsa
1573,GB308491,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1574,GB308492,DAOP 8,SDT,GERBONG,2020-12-06,Kadaluarsa
1575,GD409207,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1576,GD409210,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1577,GD409217,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1578,GD409219,DAOP 8,SDT,GERBONG,2020-04-18,Kadaluarsa
1579,GD409223,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1580,GD409514,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1581,GD409725,DAOP 8,SDT,GERBONG,2022-03-05,Masih Berlaku
1582,GD420701,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1583,GD420702,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1584,GD420703,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1585,GD420704,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1586,GD420705,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1587,GD420706,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1588,GD420707,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1589,GD420708,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1590,GD420709,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1591,GD420711,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1592,GD420712,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1593,GD420713,DIVRE 3,SIG,GERBONG,2020-11-08,Kadaluarsa
1594,GD420714,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1595,GD420715,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1596,GD420716,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1597,GD420717,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1598,GD420718,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1599,GD420719,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1600,GD420720,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1601,GD420721,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1602,GD420722,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1603,GD420723,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1604,GD420724,DIVRE 3,SIG,GERBONG,2020-09-26,Kadaluarsa
1605,GD420725,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1606,GD420726,DIVRE 3,SIG,GERBONG,2020-09-26,Kadaluarsa
1607,GD420727,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1608,GD420728,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1609,GD420729,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1610,GD420730,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1611,GD420731,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1612,GD420732,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1613,GD420801,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1614,GD420802,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1615,GD420803,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1616,GD420804,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1617,GD420805,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1618,GD420806,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1619,GD420807,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1620,GD420808,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1621,GD420809,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1622,GD420810,DIVRE 3,SIG,GERBONG,2020-07-13,Kadaluarsa
1623,GD420811,DIVRE 3,SIG,GERBONG,2019-11-24,Kadaluarsa
1624,GD420812,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1625,GD420813,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1626,GD420814,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1627,GD420815,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1628,GD420816,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1629,GD420817,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1630,GD420818,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1631,GD420819,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1632,GD420820,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1633,GD420821,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1634,GD420822,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1635,GD420823,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1636,GD420824,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1637,GD420825,DIVRE 3,SIG,GERBONG,2019-10-13,Kadaluarsa
1638,GD420826,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1639,GD420827,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1640,GD420829,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1641,GD420830,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1642,GD420831,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1643,GD420832,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1644,GD420833,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1645,GD420834,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1646,GD420835,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1647,GD420836,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1648,GD420837,DIVRE 3,SIG,GERBONG,2020-11-08,Kadaluarsa
1649,GD420838,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1650,GD421037,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1651,GD421038,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1652,GD421039,DIVRE 3,SIG,GERBONG,2020-08-09,Kadaluarsa
1653,GD421040,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1654,GD421041,DIVRE 3,SIG,GERBONG,2020-02-13,Kadaluarsa
1655,GD421042,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1656,GD421043,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1657,GD421044,DIVRE 3,SIG,GERBONG,2020-09-26,Kadaluarsa
1658,GD421045,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1659,GD421046,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1660,GD421047,DIVRE 3,SIG,GERBONG,2020-08-09,Kadaluarsa
1661,GD421048,DIVRE 3,SIG,GERBONG,2020-09-07,Kadaluarsa
1662,GD421049,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1663,GD421050,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1664,GD421051,DIVRE 3,SIG,GERBONG,2020-08-09,Kadaluarsa
1665,GD421052,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1666,GD421053,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1667,GD421054,DIVRE 3,SIG,GERBONG,2020-08-09,Kadaluarsa
1668,GD421055,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1669,GD421056,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1670,GD421057,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1671,GD421058,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
1672,GD421059,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1673,GD421060,DIVRE 3,SIG,GERBONG,2020-02-13,Kadaluarsa
1674,GD421061,DIVRE 3,SIG,GERBONG,2020-08-09,Kadaluarsa
1675,GD421062,DIVRE 3,SIG,GERBONG,2020-02-13,Kadaluarsa
1676,GD421063,DIVRE 3,SIG,GERBONG,2020-12-06,Kadaluarsa
1677,GD421064,DIVRE 3,SIG,GERBONG,2022-03-19,Masih Berlaku
