;NOMOR_IDENTITAS;DAOP;DEPO;JENIS;TAHUN;DAOP2;DAOP3;NAMA_DAOP;NAMA_DAOP2;NAMA_DEPO
8451;KMP306613;DAOP 9 JEMBER;BW;KERETA;66;DAOP;9;DAOP 9;DAOP 9;DEPO KERETA BW
8452;KMP306615;DIVRE III PALEMBANG;KPT;KERETA;66;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8453;KMP306616;DIVRE IV TANJUNGKARANG;TNK;KERETA;66;DIVRE;IV;DIVRE IV;DIVRE IV;DEPO KERETA TNK
8454;KMP306618;DIVRE III PALEMBANG;KPT;KERETA;66;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8455;KMP308001;DIVRE I SUMATERA UTARA;MDN;KERETA;80;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8456;KMP308201;DAOP 2 BANDUNG;BD;KERETA;82;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8457;KMP308203;DAOP 6 YOGYAKARTA;YK;KERETA;82;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA YK
8458;KMP308204;DIVRE I SUMATERA UTARA;MDN;KERETA;82;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8459;KMP308601;DAOP 8 SURABAYA;SDT;KERETA;86;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8460;KMP308602;DAOP 5 PURWOKERTO;PWT;KERETA;86;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8461;KMP308603;DAOP 8 SURABAYA;ML;KERETA;86;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8462;KMP309401;DAOP 2 BANDUNG;BD;KERETA;94;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8463;KP207801;DIVRE I SUMATERA UTARA;MDN;KERETA;78;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8464;KP207802;DIVRE I SUMATERA UTARA;MDN;KERETA;78;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8465;KP306502;DAOP 2 BANDUNG;BD;KERETA;65;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8466;KP306503;DAOP 1 JAKARTA;RK;KERETA;65;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA RK
8467;KP306507;DAOP 1 JAKARTA;RK;KERETA;65;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA RK
8468;KP306603;DAOP 8 SURABAYA;SDT;KERETA;66;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8469;KP306604;DAOP 2 BANDUNG;BD;KERETA;66;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8470;KP306606;DAOP 2 BANDUNG;BD;KERETA;66;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8471;KP306607;DAOP 2 BANDUNG;BD;KERETA;66;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8472;KP306609;DAOP 9 JEMBER;BW;KERETA;66;DAOP;9;DAOP 9;DAOP 9;DEPO KERETA BW
8473;KP306611;DAOP 8 SURABAYA;SBI;KERETA;66;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8474;KP306614;DAOP 8 SURABAYA;SDT;KERETA;66;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8475;KP308501;DAOP 6 YOGYAKARTA;SLO;KERETA;85;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8476;KP309403;DAOP 6 YOGYAKARTA;SLO;KERETA;94;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8477;KP309404;DIVRE I SUMATERA UTARA;MDN;KERETA;94;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8478;KP309405;DAOP 8 SURABAYA;SDT;KERETA;94;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8479;KP309501;DAOP 8 SURABAYA;SDT;KERETA;95;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8480;M100101;DAOP 8 SURABAYA;SDT;KERETA;1;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SDT
8481;M100201;DIVRE III PALEMBANG;KPT;KERETA;2;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8482;M100202;DIVRE III PALEMBANG;KPT;KERETA;2;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8483;M100203;DAOP 4 SEMARANG;SMC;KERETA;2;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8484;M100204;DAOP 4 SEMARANG;SMC;KERETA;2;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8485;M100801;DAOP 1 JAKARTA;JAKK;KERETA;8;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8486;M100901;DAOP 8 SURABAYA;ML;KERETA;9;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8487;M100902;DAOP 8 SURABAYA;ML;KERETA;9;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8488;M101601;DAOP 3 CIREBON;CN;KERETA;16;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8489;M101602;DAOP 4 SEMARANG;SMC;KERETA;16;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8490;M101603;DAOP 4 SEMARANG;SMC;KERETA;16;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8491;M101604;DAOP 5 PURWOKERTO;PWT;KERETA;16;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8492;M101605;DAOP 8 SURABAYA;SBI;KERETA;16;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8493;M101606;DAOP 8 SURABAYA;SBI;KERETA;16;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8494;M101607;DAOP 8 SURABAYA;ML;KERETA;16;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8495;M101701;DAOP 8 SURABAYA;ML;KERETA;17;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8496;M101702;DAOP 3 CIREBON;CN;KERETA;17;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8497;M106502;DAOP 4 SEMARANG;SMC;KERETA;65;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8498;M106503;DAOP 6 YOGYAKARTA;YK;KERETA;65;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA YK
8499;M106703;DAOP 1 JAKARTA;JAKK;KERETA;67;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8500;M106803;DAOP 8 SURABAYA;SBI;KERETA;68;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8501;M106804;DAOP 6 YOGYAKARTA;SLO;KERETA;68;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8502;M106805;DAOP 5 PURWOKERTO;KTA;KERETA;68;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA KTA
8503;M107801;DAOP 5 PURWOKERTO;PWT;KERETA;78;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8504;M108001;DAOP 4 SEMARANG;SMC;KERETA;80;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8505;M108002;DAOP 3 CIREBON;CN;KERETA;80;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8506;M108003;DAOP 4 SEMARANG;SMC;KERETA;80;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8507;M108004;DAOP 1 JAKARTA;JAKK;KERETA;80;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8508;M108202;DAOP 1 JAKARTA;JAKK;KERETA;82;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8509;M108203;DAOP 8 SURABAYA;ML;KERETA;82;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8510;M108206;DAOP 8 SURABAYA;SBI;KERETA;82;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8511;M108207;DAOP 6 YOGYAKARTA;SLO;KERETA;82;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8512;M108208;DAOP 3 CIREBON;CN;KERETA;82;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8513;M108209;DAOP 3 CIREBON;CN;KERETA;82;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8514;M108501;DAOP 1 JAKARTA;JAKK;KERETA;85;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8515;M108601;DAOP 4 SEMARANG;SMC;KERETA;86;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8516;M108602;DAOP 4 SEMARANG;SMC;KERETA;86;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8517;M109501;DAOP 1 JAKARTA;JAKK;KERETA;95;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8518;M109601;DAOP 9 JEMBER;BW;KERETA;96;DAOP;9;DAOP 9;DAOP 9;DEPO KERETA BW
8519;M109801;DAOP 8 SURABAYA;SBI;KERETA;98;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8520;M109802;DAOP 1 JAKARTA;JAKK;KERETA;98;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8521;MP100301;DAOP 8 SURABAYA;ML;KERETA;3;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8522;MP106801;DAOP 8 SURABAYA;ML;KERETA;68;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8523;MP109901;DAOP 8 SURABAYA;SBI;KERETA;99;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8524;MP109902;DAOP 7 MADIUN;BL;KERETA;99;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8525;MP206404;DAOP 8 SURABAYA;SBI;KERETA;64;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8526;MP206502;DAOP 1 JAKARTA;JAKK;KERETA;65;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8527;MP206504;DAOP 4 SEMARANG;SMC;KERETA;65;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8528;MP206505;DAOP 4 SEMARANG;SMC;KERETA;65;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8529;MP206507;DAOP 4 SEMARANG;SMC;KERETA;65;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8530;MP206801;DAOP 8 SURABAYA;SBI;KERETA;68;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8531;MP207801;DIVRE IV TANJUNGKARANG;TNK;KERETA;78;DIVRE;IV;DIVRE IV;DIVRE IV;DEPO KERETA TNK
8532;MP207802;DIVRE IV TANJUNGKARANG;TNK;KERETA;78;DIVRE;IV;DIVRE IV;DIVRE IV;DEPO KERETA TNK
8533;MP208201;DIVRE IV TANJUNGKARANG;TNK;KERETA;82;DIVRE;IV;DIVRE IV;DIVRE IV;DEPO KERETA TNK
8534;MP208401;DAOP 8 SURABAYA;SBI;KERETA;84;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8535;MP208601;DAOP 2 BANDUNG;BD;KERETA;86;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8536;MP301001;DAOP 6 YOGYAKARTA;YK;KERETA;10;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA YK
8537;MP301002;DAOP 6 YOGYAKARTA;YK;KERETA;10;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA YK
8538;MP301201;DAOP 5 PURWOKERTO;PWT;KERETA;12;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8539;MP301202;DAOP 1 JAKARTA;JAKK;KERETA;12;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8540;MP301203;DAOP 7 MADIUN;BL;KERETA;12;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8541;MP301204;DAOP 7 MADIUN;BL;KERETA;12;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8542;MP301205;DAOP 7 MADIUN;BL;KERETA;12;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8543;MP301401;DAOP 6 YOGYAKARTA;SLO;KERETA;14;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8544;MP301402;DAOP 6 YOGYAKARTA;SLO;KERETA;14;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8545;MP301403;DAOP 1 JAKARTA;JAKK;KERETA;14;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8546;MP301404;DAOP 1 JAKARTA;JAKK;KERETA;14;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8547;MP301405;DAOP 1 JAKARTA;JAKK;KERETA;14;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8548;MP301601;DAOP 7 MADIUN;BL;KERETA;16;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8549;MP301602;DAOP 7 MADIUN;BL;KERETA;16;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8550;MP301603;DAOP 6 YOGYAKARTA;SLO;KERETA;16;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8551;MP301604;DAOP 1 JAKARTA;JAKK;KERETA;16;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8552;MP301605;DAOP 5 PURWOKERTO;PWT;KERETA;16;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8553;MP301606;DAOP 5 PURWOKERTO;PWT;KERETA;16;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8554;MP301607;DAOP 7 MADIUN;BL;KERETA;16;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8555;MP301701;DIVRE IV TANJUNGKARANG;TNK;KERETA;17;DIVRE;IV;DIVRE IV;DIVRE IV;DEPO KERETA TNK
8556;MP301702;DIVRE I SUMATERA UTARA;MDN;KERETA;17;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8557;MP301703;DAOP 1 JAKARTA;JAKK;KERETA;17;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8558;MP301704;DAOP 5 PURWOKERTO;PWT;KERETA;17;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8559;MP301705;DAOP 1 JAKARTA;JAKK;KERETA;17;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8560;MP301706;DAOP 7 MADIUN;BL;KERETA;17;DAOP;7;DAOP 7;DAOP 7;DEPO KERETA BL
8561;P00101;DAOP 1 JAKARTA;JAKK;KERETA;1;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8562;P00201;DAOP 4 SEMARANG;SMC;KERETA;2;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8563;P00202;DAOP 4 SEMARANG;SMC;KERETA;2;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8564;P00203;DAOP 4 SEMARANG;SMC;KERETA;2;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8565;P00204;DIVRE III PALEMBANG;KPT;KERETA;2;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8566;P00801;DAOP 1 JAKARTA;JAKK;KERETA;8;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8567;P00901;DAOP 8 SURABAYA;ML;KERETA;9;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8568;P00902;DAOP 8 SURABAYA;ML;KERETA;9;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8569;P01601;DAOP 3 CIREBON;CN;KERETA;16;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8570;P01602;DAOP 4 SEMARANG;SMC;KERETA;16;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8571;P01603;DAOP 4 SEMARANG;SMC;KERETA;16;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8572;P01604;DAOP 5 PURWOKERTO;PWT;KERETA;16;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8573;P01605;DAOP 8 SURABAYA;SBI;KERETA;16;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8574;P01606;DAOP 8 SURABAYA;SBI;KERETA;16;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8575;P01607;DAOP 8 SURABAYA;ML;KERETA;16;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8576;P01701;DAOP 8 SURABAYA;ML;KERETA;17;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA ML
8577;P01702;DAOP 3 CIREBON;CN;KERETA;17;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8578;P06401;DAOP 5 PURWOKERTO;KTA;KERETA;64;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA KTA
8579;P06402;DAOP 4 SEMARANG;SMC;KERETA;64;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8580;P06403;DAOP 1 JAKARTA;JAKK;KERETA;64;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8581;P06404;DAOP 2 BANDUNG;BD;KERETA;64;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8582;P06406;DIVRE III PALEMBANG;KPT;KERETA;64;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8583;P06407;DAOP 1 JAKARTA;JAKK;KERETA;64;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8584;P06409;DAOP 1 JAKARTA;JAKK;KERETA;64;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8585;P06501;DAOP 4 SEMARANG;SMC;KERETA;65;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8586;P06502;DAOP 9 JEMBER;BW;KERETA;65;DAOP;9;DAOP 9;DAOP 9;DEPO KERETA BW
8587;P06601;DIVRE III PALEMBANG;KPT;KERETA;66;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8588;P06701;DAOP 5 PURWOKERTO;PWT;KERETA;67;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8589;P06702;DAOP 3 CIREBON;CN;KERETA;67;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8590;P06703;DAOP 2 BANDUNG;BD;KERETA;67;DAOP;2;DAOP 2;DAOP 2;DEPO KERETA BD
8591;P06704;DAOP 1 JAKARTA;JAKK;KERETA;67;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8592;P06705;DAOP 3 CIREBON;CN;KERETA;67;DAOP;3;DAOP 3;DAOP 3;DEPO KERETA CN
8593;P06801;DAOP 5 PURWOKERTO;KTA;KERETA;68;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA KTA
8594;P06802;DAOP 9 JEMBER;BW;KERETA;68;DAOP;9;DAOP 9;DAOP 9;DEPO KERETA BW
8595;P06803;DAOP 6 YOGYAKARTA;YK;KERETA;68;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA YK
8596;P06804;DAOP 8 SURABAYA;SBI;KERETA;68;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8597;P06805;DIVRE I SUMATERA UTARA;MDN;KERETA;68;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8598;P06806;DIVRE I SUMATERA UTARA;MDN;KERETA;68;DIVRE;I;DIVRE I;DIVRE I;DEPO KERETA MDN
8599;P06807;DAOP 1 JAKARTA;JAKK;KERETA;68;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
8600;P06808;DAOP 5 PURWOKERTO;PWT;KERETA;68;DAOP;5;DAOP 5;DAOP 5;DEPO KERETA PWT
8601;P06809;DIVRE III PALEMBANG;KPT;KERETA;68;DIVRE;III;DIVRE III;DIVRE III;DEPO KERETA KPT
8602;P06810;DAOP 6 YOGYAKARTA;SLO;KERETA;68;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8603;P06812;DAOP 4 SEMARANG;SMC;KERETA;68;DAOP;4;DAOP 4;DAOP 4;DEPO KERETA SMC
8604;P06813;DAOP 6 YOGYAKARTA;SLO;KERETA;68;DAOP;6;DAOP 6;DAOP 6;DEPO KERETA SLO
8605;P06814;DAOP 8 SURABAYA;SBI;KERETA;68;DAOP;8;DAOP 8;DAOP 8;DEPO KERETA SBI
8606;P06815;DAOP 1 JAKARTA;JAKK;KERETA;68;DAOP;1;DAOP 1;DAOP 1;DEPO KERETA JAKK
