;id;kode_sarana;kode_sarana_lama;id_kartu;id_jenis;id_sub_jenis;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update
186;16837;K311126;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
187;16838;K311127;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
188;16839;K311128;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
189;16840;K311129;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-12-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
190;16841;K311130;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-12-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
191;16842;K311131;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-12-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
192;16843;K311132;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-12-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
193;16844;K311133;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
194;16845;K311134;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
195;16846;K311135;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
196;16847;K311136;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;2021-09-04;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
197;16848;K311137;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
198;16849;K311138;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
199;16850;K311139;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
200;16851;K311140;;0;2;3;0;2011;25;71;Aktiv;INDONESIA;0000-00-00;0000-00-00;0000-00-00;PT INKA;1;0000-00-00 00:00:00;0000-00-00 00:00:00
201;16876;SK11901;;0;9;41;0;2019;34;77;Aktiv;ITALY;0000-00-00;0000-00-00;0000-00-00;ZEPHIR;1;0000-00-00 00:00:00;0000-00-00 00:00:00
