"74","GT 50 00 29","GGW PULP 506038","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"75","GT 50 00 30","GGW PULP 506039","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"76","GT 50 00 31","GGW PULP 506040","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"77","GT 50 00 32","GGW PULP 506041","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"78","GT 50 00 33","GGW PULP 506042","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"79","GT 50 00 34","GGW PULP 506043","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"80","GT 50 00 35","GGW PULP 506044","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"81","GT 50 00 36","GGW PULP 506046","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"82","GT 50 00 37","GGW PULP 506047","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"83","GT 50 00 38","GGW PULP 506050","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"84","GT 50 00 39","GGW PULP 506051","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"85","GT 50 00 40","GGW PULP 506052","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"86","GT 50 00 41","GGW PULP 506053","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"87","GT 50 00 42","GGW PULP 506054","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"88","GT 50 00 43","GGW PULP 506055","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"89","GT 50 00 44","GGW PULP 506056","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"90","GT 50 00 45","GGW PULP 506057","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"91","GT 50 00 46","GGW PULP 506058","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
"92","GT 50 00 47","GGW PULP 506059","2011-03-03","004/III/TLO/2011","7",NULL,NULL,NULL
