"56","KA.405/SK.213/DJKA/10/2015","2015-10-09","SK Dirjen tentang Penetapan Identitas ...","2","173",NULL,NULL,NULL
"57","KA.405/SK.214/DJKA/10/2015","2015-10-09","SK Dirjen tentang Penetapan Identitas ...","2","15",NULL,NULL,NULL
"58","KA.405/SK.247/DJKA/11/2015","2015-11-02","SK Dirjen tentang Penetapan Identitas ...","3","24",NULL,NULL,NULL
"59","KA.405/SK.248/DJKA/11/2015","2015-11-03","SK Dirjen tentang Penetapan Identitas ...","2","66",NULL,NULL,NULL
"60","KA.405/SK.268/DJKA/12/2015","2015-12-11","SK Dirjen tentang Penetapan Identitas ...","3","24",NULL,NULL,NULL
"61","KA.405/SK.269/DJKA/12/2015","2015-12-11","SK Dirjen tentang Penetapan Identitas ...","2","174",NULL,NULL,NULL
"62","KA.405/SK.270/DJKA/12/2015","2015-12-11","SK Dirjen tentang Penetapan Identitas ...","2","24",NULL,NULL,NULL
"63","KA.405/SK.271/DJKA/12/2015","2015-12-11","SK Dirjen tentang Penetapan Identitas ...","1","40",NULL,NULL,NULL
"64","KA.405/SK.272/DJKA/12/2015","2015-12-11","SK Dirjen tentang Penetapan Identitas ...","1","1",NULL,NULL,NULL
"65","KA.405/SK.21/DJKA/1/2016","2016-01-21","SK Dirjen tentang Penetapan Identitas ...","2","240",NULL,NULL,NULL
"66","KA.405/SK.33/DJKA/2/2016","2016-02-03","SK Dirjen tentang Penetapan Identitas ...","3","18",NULL,NULL,NULL
"67","KA.405/SK.38/DJKA/2/2016","2016-02-10","SK Dirjen tentang Penetapan Identitas ...","2","1370",NULL,NULL,NULL
"68","KA.405/SK.39/DJKA/2/2016","2016-02-10","SK Dirjen tentang Penetapan Identitas ...","2","1800",NULL,NULL,NULL
"69","KA.405/SK.62/DJKA/3/2016","2016-03-08","SK Dirjen tentang Penetapan Identitas ...","2","11",NULL,NULL,NULL
"70","KA.405/SK.63/DJKA/3/2016","2016-03-08","SK Dirjen tentang Penetapan Identitas ...","2","120",NULL,NULL,NULL
"71","KA.405/SK.117/DJKA/4/2016","2016-04-20","SK Dirjen tentang Penetapan Identitas ...","2","101",NULL,NULL,NULL
"72","KA.405/SK.118/DJKA/4/2016","2016-04-20","SK Dirjen tentang Penetapan Identitas ...","2","11",NULL,NULL,NULL
"73","KA.405/SK.157/DJKA/6/2016","2016-06-17","SK Dirjen tentang Penetapan Identitas ...","2","1",NULL,NULL,NULL
"74","KA.405/SK.158/DJKA/6/2016","2016-06-17","SK Dirjen tentang Penetapan Identitas ...","2","95",NULL,NULL,NULL
"75","KA.405/SK.173/DJKA/8/2016","2016-08-01","SK Dirjen tentang Penetapan Identitas ...","2","5",NULL,NULL,NULL
"76","KA.405/SK.199/DJKA/8/2016","2016-08-31","SK Dirjen tentang Penetapan Identitas ...","1","5",NULL,NULL,NULL
"77","KA.405/SK.215/DJKA/10/2016","2016-10-03","SK Dirjen tentang Penetapan Identitas ...","2","11",NULL,NULL,NULL
"78","KA.405/SK.216/DJKA/10/2016","2016-10-04","SK Dirjen tentang Penetapan Identitas ...","2","22",NULL,NULL,NULL
"79","KA.405/SK.225/DJKA/10/2016","2016-10-05","SK Dirjen tentang Penetapan Identitas ...","2","93",NULL,NULL,NULL
"80","KA.405/SK.226/DJKA/10/2016","2016-10-05","SK Dirjen tentang Penetapan Identitas ...","2","29",NULL,NULL,NULL
"81","KA.405/SK.227/DJKA/10/2016","2016-10-05","SK Dirjen tentang Penetapan Identitas ...","2","28",NULL,NULL,NULL
"82","KA.405/SK.228/DJKA/10/2016","2016-10-05","SK Dirjen tentang Penetapan Identitas ...","2","22",NULL,NULL,NULL
"83","KA.405/SK.229/DJKA/10/2016","2016-10-05","SK Dirjen tentang Penetapan Identitas ...","2","30",NULL,NULL,NULL
"84","KA.405/SK.230/DJKA/10/2016","2016-10-05","SK Dirjen tentang Penetapan Identitas ...","2","10",NULL,NULL,NULL
"85","KA.405/SK.262/DJKA/11/2016","2016-11-16","SK Dirjen tentang Penetapan Identitas ...","2","22",NULL,NULL,NULL
"86","KA.405/SK.320/DJKA/12/2016","2016-12-19","SK Dirjen tentang Penetapan Identitas ...","2","2",NULL,NULL,NULL
"87","KA.405/SK.01/DJKA/1/2017","2017-01-19","SK Dirjen tentang Penetapan Identitas ...","2","2",NULL,NULL,NULL
"88","KA.405/SK.02/DJKA/1/2017","2017-01-20","SK Dirjen tentang Penetapan Identitas ...","1","3",NULL,NULL,NULL
