id;kode_sarana;kode_sarana_lama;id_kartu;jenis_sarana;sub_jenis_sarana;seri;tahun_dinas;id_daops;id_depo;status;negara_asal;tgl_uji_pertama;tgl_masa_uji;tgl_masa_perawatan;pabrikan;id_pemilik;created_at;last_update;expired_month;expired_year;status_masauji
14577;K101621;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14576;K101620;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15365;K301750;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15364;K301749;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15363;K301748;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15358;K301743;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15356;K301741;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15352;K301737;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15349;K301734;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15348;K301733;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15347;K301732;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;0000-00-00;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15345;K301730;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15344;K301729;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15338;K301723;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
15337;K301722;;;Kereta;8;0.0;2017;7;16;Aktiv;INDONESIA;20/06/2017;27/11/2020;0000-00-00;PT INKA;2;;;2020-11;2020;Expired
14596;P01604;;;Kereta;10;0.0;2016;7;16;Aktiv;;08/06/2016;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
14595;P01603;;;Kereta;10;0.0;2016;7;16;Aktiv;;27/05/2016;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15005;MP301604;;;Kereta;35;0.0;2016;7;16;Aktiv;INDONESIA;13/10/2016;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15027;MP301603;;;Kereta;35;0.0;2016;7;16;Aktiv;INDONESIA;19/10/2016;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15100;M101604;;;Kereta;11;0.0;2016;7;16;Aktiv;INDONESIA;08/06/2016;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15555;K101809;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15553;K101807;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15552;K101806;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15551;K101805;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15550;K101804;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15549;K101803;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
15548;K101802;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;06/12/2020;0000-00-00;PT INKA;2;;;2020-12;2020;Expired
16091;K301902;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;18/11/2021;0000-00-00;PT INKA;2;;;2021-11;2021;Masih Berlaku
14575;K101619;;;Kereta;8;0.0;2016;7;16;Aktiv;;27/05/2016;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
16102;P01902;;;Kereta;10;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15558;P01802;;;Kereta;10;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15557;M101802;;;Kereta;11;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
16093;K301904;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
16088;K101907;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
16086;K101905;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;01/02/2019;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15701;K101864;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15700;K101863;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15556;K101810;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15554;K101808;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15547;K101801;;;Kereta;8;0.0;2018;7;16;Aktiv;INDONESIA;0000-00-00;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
16162;K101909;;;Kereta;8;0.0;2019;7;16;Aktiv;INDONESIA;15/03/2019;29/01/2022;0000-00-00;PT INKA;2;;;2022-01;2022;Masih Berlaku
15527;SR31506;;;Peralatan Khusus;22;0.0;2015;7;15;Aktiv;AUSTRIA;0000-00-00;18/08/2021;0000-00-00;PLASSER AND THEURER;2;;;2021-08;2021;Masih Berlaku
7554;GD421193;;;Gerbong;7;54.0;2011;7;19;Aktiv;;20/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
7550;GD421189;;;Gerbong;7;54.0;2011;7;19;Aktiv;;03/02/2012;01/01/2021;0000-00-00;PT INKA;2;;;2021-01;2021;Expired
